job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,candidate,baseline,candidate_mean_nmse,baseline_mean_nmse,difference_nmse_baseline_minus_candidate,difference_ci95_low,difference_ci95_high,mse_reduction_percent,reduction_ci95_low,reduction_ci95_high,undefined_ratio_draws,label,interpretation,inference_scope
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,calibrated,uncalibrated,3.5301689859694726e-12,0.5313236820958451,0.531323682092315,0.42399654199057574,0.6370455652447139,99.99999999933559,99.99999999920962,99.99999999945064,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,calibrated,validation_best_neural,3.5301689859694726e-12,0.0003369979012111661,0.0003369978976809971,0.0002513090624264449,0.0004463871431044133,99.99999895246559,99.99999854330648,99.9999992396098,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,validation_selected_route,validation_best_neural,3.5301689859694726e-12,0.0003369979012111661,0.0003369978976809971,0.0002513090624264449,0.0004463871431044133,99.99999895246559,99.99999854330648,99.9999992396098,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,validation_selected_route,calibrated,3.5301689859694726e-12,3.5301689859694726e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,calibrated,uncalibrated,5.904761124412951e-12,0.744788770889888,0.7447887708839833,0.6024998946649792,0.8867474985874025,99.9999999992072,99.99999999905333,99.999999999344,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,calibrated,validation_best_neural,5.904761124412951e-12,0.0004868690648330344,0.0004868690589282733,0.00034241151208127526,0.0006813384072872931,99.99999878719731,99.99999820617217,99.99999916451759,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,validation_selected_route,validation_best_neural,5.904761124412951e-12,0.0004868690648330344,0.0004868690589282733,0.00034241151208127526,0.0006813384072872931,99.99999878719731,99.99999820617217,99.99999916451759,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,validation_selected_route,calibrated,5.904761124412951e-12,5.904761124412951e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,calibrated,uncalibrated,2.6173987332513946e-12,0.5686824071126146,0.5686824071099973,0.4617014798773125,0.6838158744314681,99.99999999953975,99.99999999944947,99.99999999962317,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,calibrated,validation_best_neural,2.6173987332513946e-12,0.04972419711119871,0.04972419710858131,0.02785119194436231,0.0733411808703014,99.99999999473617,99.99999999030985,99.99999999662022,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,validation_selected_route,validation_best_neural,2.6173987332513946e-12,0.04972419711119871,0.04972419710858131,0.02785119194436231,0.0733411808703014,99.99999999473617,99.99999999030985,99.99999999662022,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,validation_selected_route,calibrated,2.6173987332513946e-12,2.6173987332513946e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,calibrated,uncalibrated,4.070228281396189e-12,0.7019233587782001,0.7019233587741299,0.5703811125707628,0.8487038328819446,99.99999999942013,99.99999999930372,99.99999999952408,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,calibrated,validation_best_neural,4.070228281396189e-12,0.07315159807895903,0.0731515980748888,0.041136415134427035,0.10711383230117079,99.9999999944359,99.99999999003597,99.99999999631234,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,validation_selected_route,validation_best_neural,4.070228281396189e-12,0.07315159807895903,0.0731515980748888,0.041136415134427035,0.10711383230117079,99.9999999944359,99.99999999003597,99.99999999631234,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,validation_selected_route,calibrated,4.070228281396189e-12,4.070228281396189e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,calibrated,uncalibrated,3.0629281019194087e-12,3.0629281019194087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,calibrated,validation_best_neural,3.0629281019194087e-12,0.00012019822972282196,0.00012019822665989386,9.074787592286959e-05,0.00015936439540471556,99.99999745176937,99.99999657607185,99.99999812295192,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,validation_selected_route,validation_best_neural,3.0629281019194087e-12,0.00012019822972282196,0.00012019822665989386,9.074787592286959e-05,0.00015936439540471556,99.99999745176937,99.99999657607185,99.99999812295192,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,validation_selected_route,calibrated,3.0629281019194087e-12,3.0629281019194087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,96,64,False,calibrated,uncalibrated,5.086514745198562e-12,5.086514745198562e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,96,64,False,calibrated,validation_best_neural,5.086514745198562e-12,0.00016886941510165456,0.00016886941001513983,0.00012868799040892734,0.00021845624856907104,99.99999698790054,99.9999959729126,99.999997746584,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,96,64,False,validation_selected_route,validation_best_neural,5.086514745198561e-12,0.00016886941510165456,0.00016886941001513983,0.00012868799040892734,0.00021845624856907104,99.99999698790054,99.9999959729126,99.999997746584,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,96,64,False,validation_selected_route,calibrated,5.086514745198561e-12,5.086514745198562e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,64,64,True,calibrated,uncalibrated,2.1598008408486055e-12,2.1598008408486055e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,64,64,True,calibrated,validation_best_neural,2.1598008408486055e-12,0.036540852716647566,0.036540852714487766,0.025097442432595964,0.05002413321580324,99.99999999408935,99.99999999074389,99.99999999604839,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,64,64,True,validation_selected_route,validation_best_neural,2.1598008408486055e-12,0.036540852716647566,0.036540852714487766,0.025097442432595964,0.05002413321580324,99.99999999408935,99.99999999074389,99.99999999604839,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,64,64,True,validation_selected_route,calibrated,2.1598008408486055e-12,2.1598008408486055e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,96,64,False,calibrated,uncalibrated,3.2760481783379498e-12,3.2760481783379498e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,96,64,False,calibrated,validation_best_neural,3.2760481783379498e-12,0.05644289667908523,0.056442896675809186,0.03871911696430963,0.07764803318647924,99.99999999419582,99.99999999114026,99.999999996005,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,96,64,False,validation_selected_route,validation_best_neural,3.2760481783379498e-12,0.05644289667908523,0.056442896675809186,0.03871911696430963,0.07764803318647924,99.99999999419582,99.99999999114026,99.999999996005,0,GREEN,candidate has lower error; pointwise interval is above zero,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
development__advection_diffusion__correct,development,advection_diffusion,correct,32,ood,96,64,False,validation_selected_route,calibrated,3.2760481783379498e-12,3.2760481783379498e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,BLUE,the compared trajectory scores are identical,exploratory pointwise 95% paired bootstrap; no multiplicity adjustment; no minimum effect requirement
